gene_id,FPKM
Zfp52,1236.581742
Gpcpd1,953.107006
Spty2d1,1938.68635
Lpin2,483.5745491
Tnfaip3,2772.435573
Dipk2a,466.0219339
Tent5a,3370.102121
Tmem64,2997.986678
Ipmk,1351.551371
Fosl2,4852.420475
Paxbp1,8413.846102
Camsap2,1349.79611
Zmat3,2252.000532
Ifngr1,1640.291891
Ets2,1490.217031
Lrrc58,1919.378473
Gna13,7592.38371
Nr3c1,14537.95355
Tab3,839.0150071
Thap12,1654.333984
Slc39a10,1102.304235
Cmtm6,4715.510077
Itgb1,2108.946718
Prdm2,2623.238343
Sos2,1124.245004
Pdzd8,2597.787051
Csnk1g1,1653.456353
P2ry10,5583.486899
Mtmr3,4530.329986
Prdx6,2246.734747
Mef2d,2711.87905
Fam102a,11038.83971
Mlec,16061.52055
Csf2rb,18718.98649
Il1r2,4290.736788
Spn,11238.06189
Rac2,19009.48227
Capn2,31602.60606
Fermt3,19571.16596
Skap1,4950.71512
Top2a,23538.057
Myo1g,15134.74247
Cbx5,7111.442053
Atp2a3,10718.50448
Il9r,5833.611665
Cdk4,6139.02717
Tph1,62772.54015
Flot1,2948.839355
Krcc1,1890.416658
Egr1,20776.15299
Itgb2,10152.43264
Elmo2,7092.134176
Dnajc5,3847.533254
Arap2,940.8201753
Ttc7,3822.081962
Rora,1398.943432
Abi1,3923.0095
Padi2,11466.24589
B4galnt4,2345.029392
Tbc1d9b,7645.041555
Parvg,3053.277416
Il12rb1,11957.71911
Ccnd2,13298.73891
Kansl3,1917.623212
Ssh2,4404.828787
Fam168b,6834.988363
Smox,6454.974244
Neo1,453.7351032
Rab8b,11751.47588
Cd47,2392.421453
Chaf1a,2741.718496
Myo6,34143.34711
Pank3,3263.031168
Dusp16,2864.586802
Rybp,411.6088267
Dennd1c,5184.164903
Tab2,7085.990761
Mtpn,7817.934815
Ccser2,2935.674894
Nabp1,4515.410263
Hif1a,17677.23878
Jmy,566.9494713
Timeless,2026.449426
Ucp2,46634.66572
Atg14,243.1037207
Wac,3600.919011
Nedd4,10047.11695
Ccny,2565.314713
Kntc1,3229.681199
Zc3hav1,9393.28203
Poldip3,3444.700735
Rb1cc1,1868.475889
Otud4,4144.172451
Vps4b,2954.10514
Pde4d,1421.761832
Mkrn1,1329.610602
Socs3,5246.476687
Eif1a,1955.361335
Ntng2,4428.524818
Itgal,20114.4194
Nr4a1,473.9206107
Tubb4b,9696.942273
Rasal3,14825.81644
Myl12b,6548.880735
Crem,1147.941035
Nepro,1270.809341
Smad5,747.741408
Ubl3,1340.142171
Rapgef2,7315.052389
Bnip3l,1101.426605
Unc13d,4109.944852
Kdm5b,1921.133735
Ccr4,882.0189144
Pola2,2519.677914
Adipor2,2884.77231
Pttg1ip,1888.661397
Pkn2,1803.531213
Foxm1,3076.973447
Nr2c2,1537.609093
Aldh3a1,8925.504835
Bmt2,287.8628895
Jag1,321.2128584
