gene_id,FPKM
Zfp52,19754.2111
Gpcpd1,11732.26522
Spty2d1,20247.96051
Lpin2,4642.768927
Tnfaip3,22543.93763
Dipk2a,3219.957581
Tent5a,23795.67285
Tmem64,20990.70191
Ipmk,8764.687273
Fosl2,30256.7608
Paxbp1,49044.64586
Camsap2,7526.502637
Zmat3,13636.12231
Ifngr1,9272.834182
Ets2,8240.449045
Lrrc58,10786.26506
Gna13,38857.14724
Nr3c1,70118.34509
Tab3,4229.476108
Thap12,6852.361071
Slc39a10,4458.142217
Cmtm6,20113.30158
Itgb1,8809.573583
Prdm2,10220.52817
Sos2,4485.243385
Pdzd8,9669.188771
Csnk1g1,6103.691291
P2ry10,19549.25851
Mtmr3,15490.85853
Prdx6,7451.974424
Mef2d,7422.332521
Fam102a,29764.70521
Mlec,5151.762748
Csf2rb,5970.726183
Il1r2,1120.463935
Spn,2927.773109
Rac2,4953.585453
Capn2,7855.104305
Fermt3,4088.041885
Skap1,1001.896323
Top2a,4598.729529
Myo1g,2951.486631
Cbx5,1254.275954
Atp2a3,1693.823031
Il9r,932.4495784
Cdk4,799.4844705
Tph1,6308.643878
Flot1,267.6240389
Krcc1,156.6786303
Egr1,1045.935721
Itgb2,3032.790137
Elmo2,2506.011174
Dnajc5,14029.93616
Arap2,3811.101819
Ttc7,652.9687784
Rora,19294.33814
Abi1,13335.46872
Padi2,2028.353079
B4galnt4,171.0761261
Tbc1d9b,1112.841731
Parvg,769.8425675
Il12rb1,3356.310335
Ccnd2,3970.321184
Kansl3,9004.363232
Ssh2,12438.58943
Fam168b,19292.64432
Smox,29698.64611
Neo1,3007.382791
Rab8b,57647.57303
Cd47,6809.168584
Chaf1a,496.290148
Myo6,9176.286269
Pank3,13461.65854
Dusp16,12425.88575
Rybp,2185.03171
Dennd1c,545.4110159
Tab2,39352.59047
Mtpn,23955.73912
Ccser2,11279.16756
Nabp1,611.4701141
Hif1a,77446.67044
Jmy,3492.663089
Timeless,288.7968267
Ucp2,7248.71566
Atg14,1885.225033
Wac,14476.25853
Nedd4,2047.832044
Ccny,8200.644203
Kntc1,149.9033382
Zc3hav1,29130.36848
Poldip3,13769.08742
Rb1cc1,8680.843033
Otud4,14848.8996
Vps4b,8233.673753
Pde4d,11140.27407
Mkrn1,6251.900807
Socs3,1319.488141
Eif1a,7407.935025
Ntng2,642.8058402
Itgal,10051.99278
Nr4a1,4796.906823
Tubb4b,3073.441889
Rasal3,4444.591633
Myl12b,1593.887472
Crem,8613.937023
Nepro,4046.54322
Smad5,3425.75708
Ubl3,6701.610821
Rapgef2,31588.95261
Bnip3l,5649.746719
Unc13d,841.8300463
Kdm5b,12153.18025
Ccr4,4111.755407
Pola2,399.7422353
Adipor2,9804.694614
Pttg1ip,7002.264409
Pkn2,8025.33352
Foxm1,492.0555904
Nr2c2,6657.571422
Aldh3a1,1443.137222
Bmt2,2021.577787
Jag1,3625.628197
Ccr2,3240.283458
Bckdk,156.6786303
Tcf12,7782.269915
Btbd7,5152.60966
Coro2a,3048.034544
Ets1,48090.17658
Fam91a1,8715.566405
Oser1,2350.179455
Abcb9,974.7951542
Ptbp2,4796.906823
Kbtbd2,7213.145376
Prps1l3,4485.243385
Lat2,1074.730713
Birc3,990.886473
Nopchap1,4258.271099
Ganab,3945.76075
Adss,7918.622669
Pola1,452.2507492
Slc7a8,1078.118359
Scly,294.7252074
Il27ra,1529.522197
Daam1,7034.447047
Fam199x,3172.530537
Pcyt1a,14986.94618
Pgghg,99.93555881
Trappc8,8011.782935
Avil,158.3724534
Crkl,8114.259229
Scd2,5317.757405
Tipin,372.6410668
Gnaq,11761.06021
Zfp760,1336.426371
Was,1251.73522
Tpp1,3483.347063
Adamts10,147.3626037
Snx18,11788.16138
Fam107b,25062.65247
Il24,708.8649384
Mcm6,2849.857249
Trpm7,16880.64032
Clspn,560.6554232
Dock2,4082.113504
Sp3,14184.07406
Retreg3,8226.89846
Gimap8,477.6580947
Aagab,4436.122518
Il2ra,27668.59921
Il7r,10111.27658
Slc49a4,1795.452413
Kpna4,12973.8375
Maea,8019.405139
Jarid2,5484.598974
Nr1d2,11083.531
Gnb1,21757.15683
Snd1,2539.040723
G3bp2,13502.31029
Cdc6,267.6240389
Cnnm2,18115.43731
Lrp12,6388.25356
Cdc73,5800.496969
Ythdf3,7500.24838
Stam,3366.473274
Celf1,27911.66281
Pqlc3,549.6455735
Epc2,6376.396799
Blcap,4912.086789
Lamc1,9557.396451
Ramp3,1238.184635
Zfand6,4735.929194
Rsbn1l,11598.4532
Ctdsp2,5995.286617
Dstn,5081.469092
Scaf8,12119.30379
Qki,11577.28042
Gmfb,12281.9108
Tollip,8293.80447
Rasa1,9503.194114
Rc3h1,8764.687273
Trmt10c,1697.210677
Thumpd1,4953.585453
Suco,6338.285781
Atp6v0a1,611.4701141
Smg7,18107.81511
Nup62,7285.979767
Tlk1,18242.47404
Nomo1,1174.666272
A130040M12Rik,10544.89528
Cxcr4,3026.861756
Crebrf,7209.75773
