gene_id,FPKM,TPM
Zfp52,18701.30469,634.9240508679887
Gpcpd1,11427.32784,387.9667971320211
Spty2d1,17955.1542,609.5916529673622
Lpin2,4368.612099,148.31782790273266
Tnfaip3,20963.52734,711.7282948879987
Dipk2a,3073.083541,104.3336110956365
Tent5a,22632.79146,768.4011289285946
Tmem64,19744.59477,670.3445723131152
Ipmk,8333.114372,282.91580834173857
Fosl2,28092.23596,953.7535775886332
Paxbp1,46578.27954,1581.3693439159917
Camsap2,7502.444175,254.71389969647868
Zmat3,13000.18667,441.3665955065742
Ifngr1,9051.531839,307.3066482282128
Ets2,7703.178468,261.52898733728017
Lrrc58,10200.47154,346.31405767125824
Gna13,36866.43753,1251.6446443512414
Nr3c1,66645.10567,2262.6539251642753
Tab3,4043.739494,137.2881466156868
Thap12,6871.187651,233.28224260095837
Slc39a10,4404.268848,149.5284026669612
Cmtm6,18787.14502,637.8383978055363
Itgb1,8484.985711,288.07196013793845
Prdm2,10184.62409,345.7760242390074
Sos2,4455.773041,151.2770106597358
Pdzd8,9491.298414,322.23707045616817
Csnk1g1,5922.982244,201.0899208326652
P2ry10,18582.44886,630.8888016538936
Mtmr3,15313.91351,519.9194474175064
Prdx6,7530.177203,255.655457880385
Mef2d,7456.222463,253.1446361019025
Fam102a,29682.26286,1007.7362454864989
Mlec,5068.540881,172.08096234458625
Csf2rb,6012.784427,204.1387758057429
Il1r2,1082.908682,36.765604244885154
Spn,2816.883194,95.63540715492394
Rac2,4735.744554,160.7822644432674
Capn2,7655.636135,259.9148876176913
Fermt3,4043.739494,137.2881466156868
Skap1,1039.328211,35.286012866383594
Top2a,4574.628872,155.31225990778177
Myo1g,2810.280092,95.41122663171284
Cbx5,1171.390245,39.76962312690099
Atp2a3,1696.997142,57.61439202079753
Il9r,941.6023054,31.96814125866237
Cdk4,880.8537696,29.905680533392243
Tph1,6387.840605,216.87222899450148
Flot1,258.8415875,8.78787613981177
Krcc1,158.4744413,5.380332329596267
Egr1,956.1291292,32.46133838935633
Itgb2,3075.724782,104.4232833117111
Elmo2,2583.133393,87.69941696596851
Dnajc5,13381.84595,454.3242292185439
Arap2,3879.982571,131.72846986412657
Ttc7,594.2791549,20.17624623683477
Rora,18128.15546,615.4651822545034
Abi1,12812.65858,434.9998688782441
Padi2,1938.670665,65.81939882402598
B4galnt4,202.0549127,6.8599237216781495
Tbc1d9b,1134.412876,38.514212271610525
Parvg,780.4866234,26.49813672317674
Il12rb1,3346.451952,113.614684355957
Ccnd2,4046.380735,137.3778188317614
Kansl3,8356.885538,283.72285818455765
Ssh2,12054.6225,409.2639458185525
Fam168b,18471.51675,627.1225689861699
Smox,27983.94509,950.0770171030332
Neo1,2938.380266,99.76032861904451
Rab8b,52444.47511,1780.5313123576839
Cd47,6807.797874,231.13010965282345
Chaf1a,464.8583612,15.782308168626427
Myo6,8613.085885,292.42106212527017
Pank3,12808.69672,434.86536060505847
Dusp16,11571.27546,392.8539324158004
Rybp,2196.191632,74.56243885580045
Dennd1c,550.6986835,18.696654844752892
Tab2,36504.58755,1239.3595520052
Mtpn,23439.69049,795.7959876970848
Ccser2,10628.35253,360.84095490990245
Nabp1,588.9966735,19.996901825056046
Hif1a,73046.15248,2479.9745152391497
Jmy,3427.009793,116.34968662369982
Timeless,281.2921333,9.550089884778743
Ucp2,6614.987304,224.5840386602458
Atg14,1836.982899,62.36701892953873
Wac,13568.05342,460.64611975581204
Nedd4,2130.160615,72.32063372554175
Ccny,8006.921147,271.8412909636308
Kntc1,180.9249872,6.142546077958319
Zc3hav1,28159.5876,956.040218911806
Poldip3,13165.26421,446.971108247344
Rb1cc1,8022.768591,272.3793241921768
Otud4,14159.69133,480.7326936441641
Vps4b,7952.775713,270.0030107547816
Pde4d,9878.240175,335.3740485663362
Mkrn1,5830.53882,197.95139364351286
Socs3,1431.552453,48.602335374750055
Eif1a,6957.027973,236.1965892668996
Ntng2,581.0729514,19.727885207387953
Itgal,9929.744368,337.12265655911074
Nr4a1,4515.200957,153.29463530073417
