gene_id,FPKM
Zfp52,1347.22124
Gpcpd1,1064.611963
Spty2d1,1922.094147
Lpin2,471.3080168
Tnfaip3,2937.556671
Dipk2a,436.2012744
Tent5a,3258.783364
Tmem64,3314.954152
Ipmk,1348.976577
Fosl2,4521.748422
Paxbp1,8149.152581
Camsap2,1225.22531
Zmat3,2336.353707
Ifngr1,1694.77799
Ets2,1518.366609
Lrrc58,1942.280524
Gna13,7176.695816
Nr3c1,13808.35946
Tab3,865.3812003
Thap12,1623.686836
Slc39a10,1045.303255
Cmtm6,4858.773149
Itgb1,2159.064658
Prdm2,2612.819303
Sos2,1152.378819
Pdzd8,2541.72815
Csnk1g1,1657.038241
P2ry10,5480.162489
Mtmr3,4312.863304
Prdx6,2294.225616
Mef2d,2597.021269
Fam102a,10795.32329
Mlec,15441.70065
Csf2rb,18093.13737
Il1r2,4414.672857
Spn,11512.3785
Rac2,19825.6551
Capn2,31196.72897
Fermt3,19835.30946
Skap1,4954.439022
Top2a,23080.92779
Myo1g,14783.44923
Cbx5,6704.510131
Atp2a3,10381.9414
Il9r,5622.344796
Cdk4,6403.469815
Tph1,63604.64055
Flot1,2930.535322
Krcc1,1952.812546
Egr1,21524.82144
Itgb2,9802.680148
Elmo2,7160.020113
Dnajc5,3768.708797
Arap2,1000.542159
Ttc7,3674.798261
Rora,1304.21548
Abi1,4059.21709
Padi2,10831.3077
B4galnt4,2324.066347
Tbc1d9b,7477.736132
Parvg,2983.195436
Il12rb1,11773.92373
Ccnd2,12661.24665
Kansl3,1953.690215
Ssh2,4205.78774
Fam168b,6801.053672
Smox,6636.051983
Neo1,425.6692517
Rab8b,11212.21586
Cd47,2447.817614
Chaf1a,2628.617338
Myo6,35053.20462
Pank3,3267.560049
Dusp16,2730.42689
Rybp,387.9295036
Dennd1c,4954.439022
Tab2,6893.208871
Mtpn,7696.275604
Ccser2,2826.970432
Nabp1,4606.882272
Hif1a,17391.00252
Jmy,528.3564732
Timeless,1935.259175
Ucp2,46206.61668
Atg14,224.6831514
Wac,3528.227612
Nedd4,9602.571716
Ccny,2700.586159
Kntc1,2932.290659
Zc3hav1,8969.772684
Poldip3,3290.379432
Rb1cc1,1886.987404
Otud4,4182.968357
Vps4b,2955.110042
Pde4d,1420.945399
Mkrn1,1348.976577
Socs3,5364.310239
Eif1a,2035.313391
Ntng2,4123.286895
Itgal,19510.57209
Nr4a1,445.8556285
Tubb4b,9970.314843
Rasal3,14707.09206
Myl12b,6686.956759
Crem,1173.442865
Nepro,1245.411687
Smad5,789.9017041
Ubl3,1365.65228
Rapgef2,6623.764623
Bnip3l,1125.171094
Unc13d,4106.611193
Kdm5b,1872.067039
Ccr4,936.4723536
Pola2,2524.174779
Adipor2,2835.747118
Pttg1ip,1926.482489
Pkn2,1719.352709
Foxm1,2991.972121
Nr2c2,1419.190062
