SYMBOL,C1,C2,C3,T1,T2,T3
Zfp52,1422.526846,1236.581742,1347.22124,18701.30469,19754.2111,19914.22431
Gpcpd1,1014.796222,953.107006,1064.611963,11427.32784,11732.26522,10740.88338
Spty2d1,1818.478586,1938.68635,1922.094147,17955.1542,20247.96051,18704.87321
Lpin2,462.0947081,483.5745491,471.3080168,4368.612099,4642.768927,4583.634948
Tnfaip3,2759.883296,2772.435573,2937.556671,20963.52734,22543.93763,22318.35602
Dipk2a,455.7522317,466.0219339,436.2012744,3073.083541,3219.957581,3229.793102
Tent5a,3409.534091,3370.102121,3258.783364,22632.79146,23795.67285,21407.70007
Tmem64,3116.874109,2997.986678,3314.954152,19744.59477,20990.70191,20742.31412
Ipmk,1299.301591,1351.551371,1348.976577,8333.114372,8764.687273,8180.118845
Fosl2,4704.305342,4852.420475,4521.748422,28092.23596,30256.7608,28765.80014
Paxbp1,7851.985765,8413.846102,8149.152581,46578.27954,49044.64586,48570.74574
Camsap2,1266.683141,1349.79611,1225.22531,7502.444175,7526.502637,7412.739432
Zmat3,2221.678871,2252.000532,2336.353707,13000.18667,13636.12231,12760.11117
Ifngr1,1707.938284,1640.291891,1694.77799,9051.531839,9272.834182,8701.014049
Ets2,1484.139474,1490.217031,1518.366609,7703.178468,8240.449045,7915.421516
Lrrc58,1983.382972,1919.378473,1942.280524,10200.47154,10786.26506,9892.152031
Gna13,7379.924308,7592.38371,7176.695816,36866.43753,38857.14724,37721.79786
Nr3c1,13823.88032,14537.95355,13808.35946,66645.10567,70118.34509,65182.32447
Tab3,873.4496051,839.0150071,865.3812003,4043.739494,4229.476108,4042.098209
Thap12,1586.525164,1654.333984,1623.686836,6871.187651,6852.361071,6931.91309
Slc39a10,1103.590891,1102.304235,1045.303255,4404.268848,4458.142217,4396.646926
Cmtm6,4725.144907,4715.510077,4858.773149,18787.14502,20113.30158,19043.63722
Itgb1,2169.126924,2108.946718,2159.064658,8484.985711,8809.573583,8365.892659
Prdm2,2470.847586,2623.238343,2612.819303,10184.62409,10220.52817,10009.9302
Sos2,1151.612498,1124.245004,1152.378819,4455.773041,4485.243385,4331.079697
Pdzd8,2430.074524,2597.787051,2541.72815,9491.298414,9669.188771,9462.322423
Csnk1g1,1697.065467,1653.456353,1657.038241,5922.982244,6103.691291,6148.748973
P2ry10,5425.535514,5583.486899,5480.162489,18582.44886,19549.25851,18967.14212
Mtmr3,4439.73347,4530.329986,4312.863304,15313.91351,15490.85853,15182.456
Prdx6,2178.187604,2246.734747,2294.225616,7530.177203,7451.974424,7302.24651
Mef2d,2644.812653,2711.87905,2597.021269,7456.222463,7422.332521,7474.664036
Fam102a,10591.0295,11038.83971,10795.32329,29682.26286,29764.70521,28985.57178
Mlec,15509.1669,16061.52055,15441.70065,5068.540881,5151.762748,5131.242725
Csf2rb,18317.97787,18718.98649,18093.13737,6012.784427,5970.726183,5720.133573
Il1r2,4263.050199,4290.736788,4414.672857,1082.908682,1120.463935,1114.642883
Spn,11575.92547,11238.06189,11512.3785,2816.883194,2927.773109,2880.101217
Rac2,19060.95367,19009.48227,19825.6551,4735.744554,4953.585453,4684.414206
Capn2,30279.88833,31602.60606,31196.72897,7655.636135,7855.104305,7381.170025
Fermt3,19369.92288,19571.16596,19835.30946,4043.739494,4088.041885,3839.325485
Skap1,4914.51313,4950.71512,4954.439022,1039.328211,1001.896323,966.5095148
Top2a,22533.91253,23538.057,23080.92779,4574.628872,4598.729529,4430.644748
Myo1g,14672.86608,15134.74247,14783.44923,2810.280092,2951.486631,2707.683691
Cbx5,6897.896103,7111.442053,6704.510131,1171.390245,1254.275954,1249.419963
Atp2a3,10367.23069,10718.50448,10381.9414,1696.997142,1693.823031,1832.239771
Il9r,5569.600334,5833.611665,5622.344796,941.6023054,932.4495784,892.4428308
Cdk4,6311.670071,6139.02717,6403.469815,880.8537696,799.4844705,781.9499089
Tph1,61074.42332,62772.54015,63604.64055,6387.840605,6308.643878,5778.415554
Flot1,2867.705394,2948.839355,2930.535322,258.8415875,267.6240389,296.2667357
Krcc1,1919.052141,1890.416658,1952.812546,158.4744413,156.6786303,152.9901996
Egr1,19934.40328,20776.15299,21524.82144,956.1291292,1045.935721,995.6505052
Itgb2,9891.544957,10152.43264,9802.680148,3075.724782,3032.790137,2918.955871
Elmo2,7110.822096,7092.134176,7160.020113,2583.133393,2506.011174,2458.771065
Dnajc5,3758.370292,3847.533254,3768.708797,13381.84595,14029.93616,13177.7987
Arap2,960.4321383,940.8201753,1000.542159,3879.982571,3811.101819,3816.255534
Ttc7,3776.491653,3822.081962,3674.798261,594.2791549,652.9687784,621.6744618
Rora,1537.597489,1398.943432,1304.21548,18128.15546,19294.33814,18007.91786
Abi1,3974.014489,3923.0095,4059.21709,12812.65858,13335.46872,12658.1177
Padi2,11251.55311,11466.24589,10831.3077,1938.670665,2028.353079,1840.739227
B4galnt4,2297.788588,2345.029392,2324.066347,202.0549127,171.0761261,172.4175265
