gene_id,FPKM
Zfp52,18701.30469
Gpcpd1,11427.32784
Spty2d1,17955.1542
Lpin2,4368.612099
Tnfaip3,20963.52734
Dipk2a,3073.083541
Tent5a,22632.79146
Tmem64,19744.59477
Ipmk,8333.114372
Fosl2,28092.23596
Paxbp1,46578.27954
Camsap2,7502.444175
Zmat3,13000.18667
Ifngr1,9051.531839
Ets2,7703.178468
Lrrc58,10200.47154
Gna13,36866.43753
Nr3c1,66645.10567
Tab3,4043.739494
Thap12,6871.187651
Slc39a10,4404.268848
Cmtm6,18787.14502
Itgb1,8484.985711
Prdm2,10184.62409
Sos2,4455.773041
Pdzd8,9491.298414
Csnk1g1,5922.982244
P2ry10,18582.44886
Mtmr3,15313.91351
Prdx6,7530.177203
Mef2d,7456.222463
Fam102a,29682.26286
Mlec,5068.540881
Csf2rb,6012.784427
Il1r2,1082.908682
Spn,2816.883194
Rac2,4735.744554
Capn2,7655.636135
Fermt3,4043.739494
Skap1,1039.328211
Top2a,4574.628872
Myo1g,2810.280092
Cbx5,1171.390245
Atp2a3,1696.997142
Il9r,941.6023054
Cdk4,880.8537696
Tph1,6387.840605
Flot1,258.8415875
Krcc1,158.4744413
Egr1,956.1291292
Itgb2,3075.724782
Elmo2,2583.133393
Dnajc5,13381.84595
Arap2,3879.982571
Ttc7,594.2791549
Rora,18128.15546
Abi1,12812.65858
Padi2,1938.670665
B4galnt4,202.0549127
Tbc1d9b,1134.412876
Parvg,780.4866234
Il12rb1,3346.451952
Ccnd2,4046.380735
Kansl3,8356.885538
Ssh2,12054.6225
Fam168b,18471.51675
Smox,27983.94509
Neo1,2938.380266
Rab8b,52444.47511
Cd47,6807.797874
Chaf1a,464.8583612
Myo6,8613.085885
Pank3,12808.69672
Dusp16,11571.27546
Rybp,2196.191632
Dennd1c,550.6986835
Tab2,36504.58755
Mtpn,23439.69049
Ccser2,10628.35253
Nabp1,588.9966735
Hif1a,73046.15248
Jmy,3427.009793
Timeless,281.2921333
Ucp2,6614.987304
Atg14,1836.982899
Wac,13568.05342
Nedd4,2130.160615
Ccny,8006.921147
Kntc1,180.9249872
Zc3hav1,28159.5876
Poldip3,13165.26421
Rb1cc1,8022.768591
Otud4,14159.69133
Vps4b,7952.775713
Pde4d,9878.240175
Mkrn1,5830.53882
Socs3,1431.552453
Eif1a,6957.027973
Ntng2,581.0729514
Itgal,9929.744368
Nr4a1,4515.200957
Tubb4b,2849.898703
Rasal3,4605.00314
Myl12b,1637.569227
Crem,7905.23338
Nepro,3985.632199
Smad5,3301.55086
Ubl3,6534.429463
Rapgef2,30551.23104
Bnip3l,5224.374082
Unc13d,747.4711148
Kdm5b,11124.90578
Ccr4,4206.175796
Pola2,361.8499743
Adipor2,9330.182732
